Genome	Phylum	Class	Order	Family	Genus
SRR5056946_bin.44	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR3737004_bin.21	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR526005_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5057076_bin.53	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1620278_bin.11	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus
ERR1297803_bin.12	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1930143_bin.10	Bacteroidetes	NA	NA	NA	NA
SRR6028346_bin.1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ERR1018240_bin.12	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
ERR1018294_bin.65	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia
SRR5127450_bin.10	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5057020_bin.40	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1620322_bin.67	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190824_bin.82	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR3992965_bin.37	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1620285_bin.6	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
DRR042472_bin.11	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
SRR3737031_bin.16	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR3132441_bin.7	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Negativicoccus
SRR5056797_bin.113	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR5127675_bin.13	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR414230_bin.27	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
SRR3737012_bin.45	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
ERR414266_bin.33	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1913072_bin.24	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
ERR1190550_bin.24	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
SRR5580103_bin.56	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR321258_bin.7	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR1305892_bin.50	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR5580101_bin.4	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ERR321392_bin.13	Tenericutes	NA	NA	NA	NA
SRR3992992_bin.20	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5963194_bin.1	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
SRR1197726_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR2992891_bin.53	Spirochaetes	Spirochaetia	Spirochaetales	Brachyspiraceae	Brachyspira
ERR1305885_bin.21	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR525898_bin.27	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1913071_bin.12	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR1305892_bin.56	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
SRR5275479_bin.12	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR526031_bin.36	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5275421_bin.38	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1297697_bin.13	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR414271_bin.10	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1190649_bin.31	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1761689_bin.24	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5057091_bin.53	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5279243_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190658_bin.15	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
SRR5580076_bin.53	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR2013564_bin.23	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio
ERR1190792_bin.25	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
SRR5127589_bin.24	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum
ERR1190945_bin.62	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR1190898_bin.67	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR5275432_bin.24	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR1196593_bin.8	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
ERR1293918_bin.21	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR5127792_bin.20	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1305895_bin.91	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR5127411_bin.10	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1190571_bin.68	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1930244_bin.14	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
SRR2912805_bin.3	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1912964_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR6028257_bin.19	Firmicutes	NA	NA	NA	NA
ERR1620372_bin.25	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
SRR3108064_bin.53	Verrucomicrobia	Opitutae	Opitutales	NA	NA
ERR636353_bin.43	Verrucomicrobia	Opitutae	Opitutales	NA	NA
ERR1620300_bin.49	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
SRR5579955_bin.5	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus
ERR1293752_bin.10	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR688517_bin.37	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR769509_bin.3	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
SRR2912789_bin.22	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1953520_bin.68	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5127399_bin.6	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR2912791_bin.21	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525999_bin.11	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5963333_bin.5	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
ERR1018210_bin.3	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
SRR1761702_bin.35	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1190967_bin.42	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR2013623_bin.16	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR6028595_bin.7	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR2992893_bin.21	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5106508_bin.5	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR3582169_bin.27	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR6054486_bin.17	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1620269_bin.44	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR589530_bin.45	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR526061_bin.24	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella
ERR414243_bin.31	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1190926_bin.6	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR589532_bin.53	Tenericutes	NA	NA	NA	NA
SRR3737012_bin.13	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ERR209608_bin.4	Tenericutes	NA	NA	NA	NA
ERR1305895_bin.23	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ERR1190889_bin.47	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5127449_bin.10	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1620321_bin.13	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1190639_bin.35	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR5056973_bin.68	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
SRR5127640_bin.32	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
SRR6054473_bin.9	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1190536_bin.4	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127825_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5279284_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5279224_bin.22	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR688514_bin.38	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
SRR5056660_bin.39	Tenericutes	NA	NA	NA	NA
SRR1196456_bin.38	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR3736987_bin.4	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
SRR1761667_bin.2	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR414316_bin.12	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
SRR1761704_bin.38	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
SRR5057094_bin.65	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR4481725_bin.64	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1197078_bin.13	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR769532_bin.16	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR1018224_bin.44	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR3131894_bin.5	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ERR1190578_bin.36	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR1761698_bin.21	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR5057088_bin.22	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR414245_bin.26	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR414324_bin.6	Tenericutes	NA	NA	NA	NA
ERR1190965_bin.23	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
SRR2992887_bin.21	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR2992887_bin.50	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR4408252_bin.5	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5056653_bin.24	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127477_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1761717_bin.45	Bacteroidetes	NA	NA	NA	NA
SRR5106282_bin.60	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
SRR4033077_bin.13	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio
ERR1305878_bin.29	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1761700_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR2992899_bin.70	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
SRR6028211_bin.15	Verrucomicrobia	Opitutae	Opitutales	NA	NA
ERR525804_bin.47	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR1761702_bin.21	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5127804_bin.13	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1912976_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR2155382_bin.36	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR1190806_bin.28	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
ERR1018219_bin.20	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1913015_bin.15	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR414504_bin.10	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
SRR1930244_bin.4	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ERR1620280_bin.21	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
SRR2155371_bin.22	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR4451556_bin.29	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5558081_bin.8	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR2992887_bin.79	Tenericutes	NA	NA	NA	NA
SRR6028340_bin.15	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1305901_bin.89	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1197020_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR1761720_bin.5	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
SRR6028570_bin.23	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1620299_bin.26	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter
ERR1018187_bin.82	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
SRR5279269_bin.12	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
ERR1190550_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5579995_bin.10	Tenericutes	NA	NA	NA	NA
SRR1761713_bin.13	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR2912807_bin.21	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1196455_bin.2	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR505084_bin.40	Tenericutes	Mollicutes	NA	NA	NA
ERR1018220_bin.2	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA
SRR1761681_bin.7	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR4305239_bin.6	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR911961_bin.59	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1190597_bin.27	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR6028474_bin.9	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
ERR1578637_bin.36	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR2155318_bin.26	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR2013566_bin.18	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ERR1190848_bin.35	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4305227_bin.5	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR3992999_bin.11	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR525998_bin.1	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	NA
SRR6054493_bin.5	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR2912776_bin.50	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR209280_bin.16	Tenericutes	NA	NA	NA	NA
SRR5580035_bin.25	Tenericutes	Mollicutes	NA	NA	NA
ERR1305877_bin.49	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1912962_bin.10	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5050584_bin.5	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter
ERR414261_bin.22	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR2912788_bin.13	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1620320_bin.15	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus
ERR011169_bin.3	Tenericutes	Mollicutes	NA	NA	NA
ERR1190721_bin.6	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
SRR3992965_bin.53	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR5127406_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190861_bin.8	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1620269_bin.39	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR5580036_bin.60	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1196456_bin.17	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1190648_bin.39	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR321393_bin.28	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR589442_bin.16	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR3108079_bin.43	NA	NA	NA	NA	NA
ERR505084_bin.17	Verrucomicrobia	Opitutae	Opitutales	NA	NA
ERR1190562_bin.24	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR5558121_bin.13	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1620349_bin.29	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
SRR2992898_bin.30	Tenericutes	NA	NA	NA	NA
ERR1018194_bin.15	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
ERR525720_bin.35	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525751_bin.24	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR5057100_bin.26	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus
ERR589532_bin.55	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4305041_bin.1	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1190926_bin.80	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1761711_bin.31	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
ERR1620276_bin.17	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR6028499_bin.9	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ERR525795_bin.39	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR769513_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5963229_bin.4	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea
ERR1620373_bin.39	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
ERR526043_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR688517_bin.43	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1761713_bin.28	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR3993029_bin.46	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR525995_bin.29	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR3917648_bin.16	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR6028239_bin.19	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR589512_bin.27	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR4305432_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
SRR5057067_bin.76	Tenericutes	NA	NA	NA	NA
ERR1293605_bin.10	Verrucomicrobia	Opitutae	Opitutales	NA	NA
ERR414332_bin.31	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
SRR5558411_bin.94	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
ERR414362_bin.39	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
SRR3993004_bin.27	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium
ERR209469_bin.15	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
ERR1018239_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4305460_bin.4	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5963000_bin.4	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1620299_bin.39	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR2013565_bin.71	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ERR1190846_bin.16	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5279281_bin.23	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR589527_bin.31	Tenericutes	NA	NA	NA	NA
SRR5127579_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR526056_bin.6	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ERR1620304_bin.12	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
SRR4033063_bin.65	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR525931_bin.39	NA	NA	NA	NA	NA
ERR414279_bin.59	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR525813_bin.62	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR6054459_bin.11	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR4408017_bin.22	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
SRR5963300_bin.9	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR011213_bin.5	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR1620332_bin.4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
SRR5127527_bin.11	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1620314_bin.17	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ERR414329_bin.39	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1912949_bin.6	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR4408065_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190945_bin.4	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1620298_bin.6	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR688512_bin.48	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
ERR525737_bin.30	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR341662_bin.1	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
SRR1757434_bin.5	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
ERR1305901_bin.104	Tenericutes	NA	NA	NA	NA
ERR525737_bin.53	Tenericutes	NA	NA	NA	NA
SRR3737006_bin.37	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR3737015_bin.39	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1930142_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1018185_bin.37	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR5056661_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127805_bin.10	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR341596_bin.15	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR5056682_bin.13	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR5127829_bin.3	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1018198_bin.34	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR414261_bin.23	Tenericutes	NA	NA	NA	NA
ERR525944_bin.16	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1190928_bin.51	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1305896_bin.81	NA	NA	NA	NA	NA
ERR011158_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR1953519_bin.54	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR525948_bin.22	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota
ERR1190935_bin.16	NA	NA	NA	NA	NA
SRR1761714_bin.3	NA	NA	NA	NA	NA
ERR1913021_bin.11	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR321291_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR414265_bin.28	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR525785_bin.6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR3108056_bin.25	Tenericutes	NA	NA	NA	NA
ERR525759_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
SRR3736999_bin.46	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR589511_bin.32	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR321543_bin.17	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
SRR1761716_bin.6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
